,ITTER107,Territorio,TIME,Value
900,IT,Italia,2014,1118.0
901,IT,Italia,2015,1107.0
902,IT,Italia,2016,1092.0
903,IT,Italia,2017,1055.0
904,IT,Italia,2018,1048.0
905,IT,Italia,2019,1045.0
990,ITC1,Piemonte,2014,75.0
991,ITC1,Piemonte,2015,75.0
992,ITC1,Piemonte,2016,75.0
993,ITC1,Piemonte,2017,74.0
994,ITC1,Piemonte,2018,73.0
995,ITC1,Piemonte,2019,73.0
1020,ITC2,Valle d'Aosta / Vallée d'Aoste,2014,2.0
1021,ITC2,Valle d'Aosta / Vallée d'Aoste,2015,2.0
1022,ITC2,Valle d'Aosta / Vallée d'Aoste,2016,2.0
1023,ITC2,Valle d'Aosta / Vallée d'Aoste,2017,2.0
1024,ITC2,Valle d'Aosta / Vallée d'Aoste,2018,2.0
1025,ITC2,Valle d'Aosta / Vallée d'Aoste,2019,2.0
1050,ITC3,Liguria,2014,16.0
1051,ITC3,Liguria,2015,16.0
1052,ITC3,Liguria,2016,17.0
1053,ITC3,Liguria,2017,16.0
1054,ITC3,Liguria,2018,18.0
1055,ITC3,Liguria,2019,19.0
1080,ITC4,Lombardia,2014,193.0
1081,ITC4,Lombardia,2015,188.0
1082,ITC4,Lombardia,2016,186.0
1083,ITC4,Lombardia,2017,182.0
1084,ITC4,Lombardia,2018,179.0
1085,ITC4,Lombardia,2019,178.0
1140,ITDA,Trentino Alto Adige / Südtirol,2014,26.0
1141,ITDA,Trentino Alto Adige / Südtirol,2015,26.0
1142,ITDA,Trentino Alto Adige / Südtirol,2016,26.0
1143,ITDA,Trentino Alto Adige / Südtirol,2017,26.0
1144,ITDA,Trentino Alto Adige / Südtirol,2018,26.0
1145,ITDA,Trentino Alto Adige / Südtirol,2019,23.0
1170,ITD1,Provincia Autonoma Bolzano / Bozen,2014,12.0
1171,ITD1,Provincia Autonoma Bolzano / Bozen,2015,12.0
1172,ITD1,Provincia Autonoma Bolzano / Bozen,2016,13.0
1173,ITD1,Provincia Autonoma Bolzano / Bozen,2017,13.0
1174,ITD1,Provincia Autonoma Bolzano / Bozen,2018,13.0
1175,ITD1,Provincia Autonoma Bolzano / Bozen,2019,10.0
1200,ITD2,Provincia Autonoma Trento,2014,14.0
1201,ITD2,Provincia Autonoma Trento,2015,14.0
1202,ITD2,Provincia Autonoma Trento,2016,13.0
1203,ITD2,Provincia Autonoma Trento,2017,13.0
1204,ITD2,Provincia Autonoma Trento,2018,13.0
1205,ITD2,Provincia Autonoma Trento,2019,13.0
1230,ITD3,Veneto,2014,53.0
1231,ITD3,Veneto,2015,51.0
1232,ITD3,Veneto,2016,52.0
1233,ITD3,Veneto,2017,40.0
1234,ITD3,Veneto,2018,40.0
1235,ITD3,Veneto,2019,40.0
1260,ITD4,Friuli-Venezia Giulia,2014,18.0
1261,ITD4,Friuli-Venezia Giulia,2015,19.0
1262,ITD4,Friuli-Venezia Giulia,2016,19.0
1263,ITD4,Friuli-Venezia Giulia,2017,15.0
1264,ITD4,Friuli-Venezia Giulia,2018,15.0
1265,ITD4,Friuli-Venezia Giulia,2019,15.0
1290,ITD5,Emilia-Romagna,2014,72.0
1291,ITD5,Emilia-Romagna,2015,69.0
1292,ITD5,Emilia-Romagna,2016,68.0
1293,ITD5,Emilia-Romagna,2017,68.0
1294,ITD5,Emilia-Romagna,2018,67.0
1295,ITD5,Emilia-Romagna,2019,67.0
1350,ITE1,Toscana,2014,67.0
1351,ITE1,Toscana,2015,67.0
1352,ITE1,Toscana,2016,63.0
1353,ITE1,Toscana,2017,62.0
1354,ITE1,Toscana,2018,61.0
1355,ITE1,Toscana,2019,61.0
1380,ITE2,Umbria,2014,15.0
1381,ITE2,Umbria,2015,15.0
1382,ITE2,Umbria,2016,15.0
1383,ITE2,Umbria,2017,16.0
1384,ITE2,Umbria,2018,16.0
1385,ITE2,Umbria,2019,15.0
1410,ITE3,Marche,2014,21.0
1411,ITE3,Marche,2015,21.0
1412,ITE3,Marche,2016,22.0
1413,ITE3,Marche,2017,16.0
1414,ITE3,Marche,2018,16.0
1415,ITE3,Marche,2019,16.0
1440,ITE4,Lazio,2014,120.0
1441,ITE4,Lazio,2015,121.0
1442,ITE4,Lazio,2016,118.0
1443,ITE4,Lazio,2017,117.0
1444,ITE4,Lazio,2018,114.0
1445,ITE4,Lazio,2019,114.0
1530,ITF1,Abruzzo,2014,29.0
1531,ITF1,Abruzzo,2015,29.0
1532,ITF1,Abruzzo,2016,29.0
1533,ITF1,Abruzzo,2017,27.0
1534,ITF1,Abruzzo,2018,27.0
1535,ITF1,Abruzzo,2019,27.0
1560,ITF2,Molise,2014,8.0
1561,ITF2,Molise,2015,8.0
1562,ITF2,Molise,2016,8.0
1563,ITF2,Molise,2017,8.0
1564,ITF2,Molise,2018,8.0
1565,ITF2,Molise,2019,8.0
1590,ITF3,Campania,2014,110.0
1591,ITF3,Campania,2015,109.0
1592,ITF3,Campania,2016,110.0
1593,ITF3,Campania,2017,110.0
1594,ITF3,Campania,2018,109.0
1595,ITF3,Campania,2019,108.0
1620,ITF4,Puglia,2014,65.0
1621,ITF4,Puglia,2015,61.0
1622,ITF4,Puglia,2016,60.0
1623,ITF4,Puglia,2017,60.0
1624,ITF4,Puglia,2018,59.0
1625,ITF4,Puglia,2019,59.0
1650,ITF5,Basilicata,2014,12.0
1651,ITF5,Basilicata,2015,14.0
1652,ITF5,Basilicata,2016,15.0
1653,ITF5,Basilicata,2017,10.0
1654,ITF5,Basilicata,2018,10.0
1655,ITF5,Basilicata,2019,10.0
1680,ITF6,Calabria,2014,52.0
1681,ITF6,Calabria,2015,52.0
1682,ITF6,Calabria,2016,50.0
1683,ITF6,Calabria,2017,48.0
1684,ITF6,Calabria,2018,49.0
1685,ITF6,Calabria,2019,52.0
1740,ITG1,Sicilia,2014,126.0
1741,ITG1,Sicilia,2015,126.0
1742,ITG1,Sicilia,2016,125.0
1743,ITG1,Sicilia,2017,125.0
1744,ITG1,Sicilia,2018,126.0
1745,ITG1,Sicilia,2019,126.0
1770,ITG2,Sardegna,2014,38.0
1771,ITG2,Sardegna,2015,38.0
1772,ITG2,Sardegna,2016,32.0
1773,ITG2,Sardegna,2017,33.0
1774,ITG2,Sardegna,2018,33.0
1775,ITG2,Sardegna,2019,32.0
